,Week,Name1,Score1,Name2,Score2,Type
219,2,Team GM,108.0,Team DH,110.98,Regular
220,2,Team BL,102.42,Team Caleb,99.48,Regular
221,2,Team RW,84.76,Team WN,85.04,Regular
222,2,Team BD,89.4,Team JN,95.24,Regular
223,3,Team WR,124.52,Team DH,124.98,Regular
224,3,Team Caleb,128.06,Team TP,101.48,Regular
225,3,Team WN,149.96,Team GM,139.18,Regular
226,3,Team JN,101.96,Team BL,67.68,Regular
227,3,Team BD,106.8,Team RW,93.92,Regular
228,4,Team Caleb,142.7,Team WR,83.28,Regular
229,4,Team DH,137.24,Team WN,81.38,Regular
230,4,Team TP,63.64,Team JN,131.9,Regular
231,4,Team GM,104.82,Team BD,113.88,Regular
232,4,Team BL,150.06,Team RW,94.8,Regular
233,5,Team WR,103.92,Team WN,69.24,Regular
234,5,Team JN,99.48,Team Caleb,97.22,Regular
235,5,Team BD,111.48,Team DH,102.84,Regular
236,5,Team RW,176.06,Team TP,56.76,Regular
237,5,Team BL,116.32,Team GM,163.34,Regular
238,6,Team JN,78.22,Team WR,102.58,Regular
239,6,Team WN,121.34,Team BD,119.78,Regular
240,6,Team Caleb,112.4,Team RW,78.56,Regular
241,6,Team DH,96.62,Team BL,113.6,Regular
242,6,Team TP,97.24,Team GM,101.54,Regular
243,7,Team WR,66.34,Team BD,95.96,Regular
244,7,Team RW,98.4,Team JN,99.86,Regular
245,7,Team BL,129.06,Team WN,113.96,Regular
246,7,Team GM,148.26,Team Caleb,92.46,Regular
247,7,Team TP,103.8,Team DH,106.88,Regular
248,8,Team RW,119.46,Team WR,119.56,Regular
249,8,Team BD,107.22,Team BL,108.46,Regular
250,8,Team JN,96.68,Team GM,120.2,Regular
251,8,Team WN,124.5,Team TP,114.76,Regular
252,8,Team Caleb,126.02,Team DH,84.98,Regular
253,9,Team WR,92.12,Team BL,90.48,Regular
254,9,Team GM,49.5,Team RW,115.22,Regular
255,9,Team TP,134.72,Team BD,118.84,Regular
256,9,Team DH,65.78,Team JN,92.6,Regular
257,9,Team Caleb,89.52,Team WN,144.2,Regular
258,10,Team GM,113.42,Team WR,170.42,Regular
259,10,Team BL,98.26,Team TP,104.38,Regular
260,10,Team RW,94.78,Team DH,97.42,Regular
261,10,Team BD,126.02,Team Caleb,88.78,Regular
262,10,Team JN,104.62,Team WN,101.84,Regular
263,11,Team WR,124.8,Team TP,72.64,Regular
264,11,Team DH,139.66,Team GM,97.38,Regular
265,11,Team Caleb,94.46,Team BL,108.2,Regular
266,11,Team WN,96.64,Team RW,106.7,Regular
267,11,Team JN,116.64,Team BD,98.4,Regular
268,12,Team DH,108.98,Team WR,122.12,Regular
269,12,Team TP,102.5,Team Caleb,112.64,Regular
270,12,Team GM,118.62,Team WN,116.16,Regular
271,12,Team BL,140.5,Team JN,110.28,Regular
272,12,Team RW,118.66,Team BD,105.98,Regular
273,13,Team DH,100.82,Team BL,101.52,Regular
274,13,Team JN,145.72,Team RW,78.78,Regular
275,13,Team GM,118.8,Team WR,108.6,Regular
276,13,Team WN,120.96,Team TP,151.38,Regular
277,13,Team BD,125.06,Team Caleb,124.76,Regular
278,14,,,Team JN,0.0,Playoff
279,14,Team BD,0.0,Team WR,0.0,Playoff
280,14,Team DH,0.0,Team GM,0.0,Playoff
281,14,,,Team BL,0.0,Playoff
282,14,Team Caleb,0.0,Team WN,0.0,Playoff
283,14,Team RW,0.0,Team TP,0.0,Playoff
284,1,Team WR,95.32,Team GM,133.84,Regular
285,1,Team TP,99.76,Team BL,86.8,Regular
286,1,Team DH,82.16,Team RW,65.44,Regular
287,1,Team Caleb,78.68,Team BD,104.56,Regular
288,1,Team WN,69.64,Team JN,123.64,Regular
289,2,Team TP,148.76,Team WR,138.86,Regular
290,2,Team GM,108.0,Team DH,110.98,Regular
291,2,Team BL,102.42,Team Caleb,99.48,Regular
292,2,Team RW,84.76,Team WN,85.04,Regular
293,2,Team BD,89.4,Team JN,95.24,Regular
294,3,Team WR,124.52,Team DH,124.98,Regular
295,3,Team Caleb,128.06,Team TP,101.48,Regular
296,3,Team WN,149.96,Team GM,139.18,Regular
297,3,Team JN,101.96,Team BL,67.68,Regular
298,3,Team BD,106.8,Team RW,93.92,Regular
299,4,Team Caleb,142.7,Team WR,83.28,Regular
300,4,Team DH,137.24,Team WN,81.38,Regular
301,4,Team TP,63.64,Team JN,131.9,Regular
302,4,Team GM,104.82,Team BD,113.88,Regular
303,4,Team BL,150.06,Team RW,94.8,Regular
304,5,Team WR,103.92,Team WN,69.24,Regular
305,5,Team JN,99.48,Team Caleb,97.22,Regular
306,5,Team BD,111.48,Team DH,102.84,Regular
307,5,Team RW,176.06,Team TP,56.76,Regular
308,5,Team BL,116.32,Team GM,163.34,Regular
309,6,Team JN,78.22,Team WR,102.58,Regular
310,6,Team WN,121.34,Team BD,119.78,Regular
311,6,Team Caleb,112.4,Team RW,78.56,Regular
312,6,Team DH,96.62,Team BL,113.6,Regular
313,6,Team TP,97.24,Team GM,101.54,Regular
314,7,Team WR,66.34,Team BD,95.96,Regular
315,7,Team RW,98.4,Team JN,99.86,Regular
316,7,Team BL,129.06,Team WN,113.96,Regular
317,7,Team GM,148.26,Team Caleb,92.46,Regular
318,7,Team TP,103.8,Team DH,106.88,Regular
319,8,Team RW,119.46,Team WR,119.56,Regular
320,8,Team BD,107.22,Team BL,108.46,Regular
321,8,Team JN,96.68,Team GM,120.2,Regular
322,8,Team WN,124.5,Team TP,114.76,Regular
323,8,Team Caleb,126.02,Team DH,84.98,Regular
324,9,Team WR,92.12,Team BL,90.48,Regular
325,9,Team GM,49.5,Team RW,115.22,Regular
326,9,Team TP,134.72,Team BD,118.84,Regular
327,9,Team DH,65.78,Team JN,92.6,Regular
328,9,Team Caleb,89.52,Team WN,144.2,Regular
329,10,Team GM,113.42,Team WR,170.42,Regular
330,10,Team BL,98.26,Team TP,104.38,Regular
331,10,Team RW,94.78,Team DH,97.42,Regular
332,10,Team BD,126.02,Team Caleb,88.78,Regular
333,10,Team JN,104.62,Team WN,101.84,Regular
334,11,Team WR,124.8,Team TP,72.64,Regular
335,11,Team DH,139.66,Team GM,97.38,Regular
336,11,Team Caleb,94.46,Team BL,108.2,Regular
337,11,Team WN,96.64,Team RW,106.7,Regular
